Afganistan Kâbil
Almanya Berlin
Angola Luanda
Arnavutluk Tiran
Avustralya Canberra
Bahamalar Nassau
Bahreyn Manama
Bangladeþ Dhaka
Barbados Bridgetown
Belçika Brüksel
Belize Belmopan
Bhutan Thimphu
Bolivya Sucre
Botsvana Gaborone
Brezilya Brezilya
Bulgaristan Sofya
Burundi Bujumbura
Cezayir Cezayir
Cibuti Cibuti
Dominika Roseau
Ekvador Quito
Endonezya Jakarta
Eritre Asmara
Estonya Tallinn
Fas Rabat
Fiji Suva
Filipinler Manila
Finlandiya Helsinki
Fransa Paris
Gabon Libreville
Gambiya Banjul
Gana Accra
Georgia Tiflis
Gine Conakry
Guyana Georgetown
Hýrvatistan Zagreb
Hollanda Amsterdam
Honduras Tegucigalpa
Irak Baðdat
Ýran Tahran
Ýrlanda Dublin
Ýspanya Madrid
Ýsrail Tel Aviv
Ýsveç Stockholm
Ýsviçre Bern
Ýtalya Roma
Ýzlanda Reykjavik
Jamaika Kingston
Japonya Tokyo
Kamerun Yaoundé
Kanada Ottawa
Karadað Podgorica
Katar Doha
Kazakistan Astana
Kenya Nairobi
Kýrgýzistan Biþkek
Kiribati Bairiki
Kolombiya Bogota
Komorlar Moroni
Kosova Priþtine
Kuveyt Kuveyt
Küba Havana
Laos Vientiane
Lesotho Maseru
Letonya Riga
Liberya Monrovia
Libya Tripoli
Lihtenþtayn Vaduz
Litvanya Vilnius
Lübnan Beyrut
Lüksemburg Lüksemburg
Macaristan Budapeþte
Madagaskar Antananarivo
Makedonya Üsküp
Malavi Lilongwe
Maldivler Male
Mali Bamako
Malta Valletta
Meksika Meksiko
Mýsýr Kahire
Mikronezya Palikir
Moldova Chisinau
Monako Monako
Moritanya Nouakchott
Mozambik Maputo
Myanmar Naypyidaw
Namibya Windhoek
Nauru Yaren
Nepal Katmandu
Nijer Niamey
Nijerya Abuja
Nikaragua Managua
Niue Alofi
Norveç Oslo
Özbekistan Taþkent
Pakistan Ýslamabad
Palau Ngerulmud
Paraguay Asunción
Peru Lima
Polonya Varþova
Portekiz Lizbon
Romanya Bükreþ
Ruanda Kigali
Rusya Moskova
Samoa Apia
Seyþeller Victoria
Sýrbistan Belgrat
Singapur Singapur
Slovakya Bratislava
Slovenya Ljubljana
Somali Mogadiþu
Sudan Hartum
Surinam Paramaribo
Suriye Þam
Svaziland Mbabane
Þili Santiago
Tacikistan Duþanbe
Tanzanya Dodoma
Tayland Bangkok
Togo Lomé
Tunus Tunus
Tuvalu Funafuti
Türkiye Ankara
Türkmenistan Aþkabat
Uganda Kampala
Ukrayna Kiev
Umman Maskat
Uruguay Montevideo
Ürdün Amman
Vatikan Vatikan
Venezuela Karakas
Vietnam Hanoi
Yemen Sanaa
Yunanistan Atina
Zambiya Lusaka
Zimbabve Harare
